,Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
257,0.0269,0.3126,0.3667,0.2168,0.1824,0.2312,0.6401,0.0002,0.0002,0.0712,0.211,1.6152,1.6458,4.6255,0.6146,7.0023
258,0.0271,0.28,0.3452,0.2141,0.1792,0.2271,0.6248,0.0002,0.0001,0.0762,0.2157,1.5552,1.5856,4.5774,0.6123,6.8967
259,0.0269,0.2884,0.3302,0.2118,0.1673,0.2318,0.6142,0.0001,0.0001,0.088,0.2048,1.5334,1.5634,4.5566,0.6128,6.8482
260,0.0269,0.2831,0.318,0.2148,0.167,0.225,0.6099,0.0001,0.0001,0.0742,0.2101,1.5023,1.5319,4.5928,0.6141,6.8553
261,0.0275,0.2872,0.3105,0.21,0.1613,0.2287,0.6032,0.0002,0.0001,0.0642,0.2141,1.4861,1.5164,4.5967,0.6152,6.8447
262,0.0281,0.2872,0.3231,0.214,0.1674,0.2248,0.6094,0.0001,0.0002,0.0715,0.2036,1.5075,1.5385,4.604,0.6169,6.8749
263,0.0282,0.3053,0.3159,0.2154,0.1611,0.2272,0.6066,0.0002,0.0001,0.0703,0.2109,1.5187,1.5501,4.6124,0.6215,6.9009
264,0.027,0.2463,0.3413,0.2034,0.1798,0.2185,0.6062,0.0002,0.0001,0.0736,0.2058,1.4807,1.5119,6.2035,0.6211,8.4522
265,0.0271,0.2879,0.354,0.219,0.1683,0.2354,0.6259,0.0001,0.0001,0.0726,0.1955,1.543,1.5732,4.6526,0.6178,6.9603
266,0.0274,0.3015,0.312,0.2192,0.1801,0.2328,0.638,0.0001,0.0002,0.0691,0.2167,1.5448,1.5753,5.4651,0.6139,7.7731
267,0.0278,0.2851,0.3078,0.2193,0.1657,0.2273,0.6154,0.0001,0.0001,0.0637,0.2103,1.4893,1.52,4.5598,0.6111,6.8063
268,0.0283,0.2779,0.3079,0.2186,0.2174,0.233,0.672,0.0001,0.0002,0.0778,0.2077,1.5514,1.5826,4.5945,0.6218,6.9168
269,0.0267,0.2845,0.3274,0.2246,0.1686,0.2323,0.6285,0.0002,0.0001,0.0735,0.1995,1.5205,1.55,4.6117,0.6165,6.8953
270,0.0271,0.2773,0.3257,0.2204,0.1691,0.233,0.6258,0.0002,0.0001,0.076,0.2152,1.5274,1.5571,4.6426,0.6134,6.9287
271,0.0279,0.277,0.3213,0.2143,0.1663,0.2319,0.6156,0.0001,0.0001,0.0752,0.2175,1.5149,1.5457,4.5748,0.6154,6.8521
272,0.027,0.2645,0.3448,0.2108,0.187,0.226,0.6351,0.0002,0.0002,0.0719,0.2047,1.5372,1.5684,5.8711,0.6166,8.1784
273,0.0281,0.2965,0.3689,0.2218,0.2408,0.2439,0.7164,0.0002,0.0002,0.0842,0.2081,1.6876,1.7194,4.6804,0.6198,7.1465
274,0.0276,0.3091,0.3567,0.2271,0.1945,0.2325,0.6611,0.0003,0.0001,0.0716,0.2255,1.6387,1.6697,4.7328,0.6178,7.1467
275,0.0275,0.2941,0.3725,0.2311,0.1893,0.2339,0.6648,0.0003,0.0002,0.085,0.229,1.6597,1.6908,5.2214,0.6198,7.6523
276,0.0269,0.2859,0.3506,0.2212,0.1896,0.2324,0.6492,0.0002,0.0001,0.084,0.2069,1.5945,1.6246,4.6011,0.6161,6.9598
277,0.027,0.2796,0.3595,0.2142,0.2442,0.23,0.6972,0.0002,0.0002,0.0785,0.2248,1.6535,1.6841,4.5935,0.616,7.0126
278,0.0268,0.2877,0.3427,0.2153,0.1915,0.2352,0.6513,0.0003,0.0002,0.0826,0.2067,1.5841,1.6145,4.59,0.6149,6.9362
279,0.0272,0.2835,0.3547,0.2257,0.1967,0.2331,0.6679,0.0003,0.0001,0.0861,0.2136,1.6208,1.6514,4.5987,0.6176,6.9843
280,0.027,0.1798,0.3785,0.2175,0.1903,0.232,0.6503,0.0003,0.0002,0.0757,0.2197,1.5196,1.5511,6.9241,0.612,9.2069
281,0.0278,0.2995,0.3594,0.2248,0.1827,0.2383,0.6531,0.0003,0.0002,0.0843,0.2192,1.6303,1.6616,5.4982,0.6201,7.9013
282,0.0271,0.3011,0.3726,0.2302,0.192,0.2373,0.6686,0.0002,0.0001,0.0717,0.2052,1.6357,1.666,4.5455,0.6048,6.9337
283,0.0271,0.2844,0.3456,0.2317,0.1868,0.2348,0.6623,0.0003,0.0002,0.0907,0.2053,1.6014,1.6318,4.7997,0.6124,7.166
284,0.0271,0.296,0.3582,0.2215,0.1862,0.2406,0.6563,0.0003,0.0002,0.0836,0.2145,1.6243,1.6549,4.5681,0.6152,6.9959
285,0.0267,0.286,0.3666,0.2352,0.1882,0.2371,0.6656,0.0002,0.0002,0.0856,0.2124,1.6333,1.6634,4.5584,0.598,6.9383
286,0.027,0.2798,0.3578,0.2221,0.1874,0.2294,0.6461,0.0002,0.0002,0.0851,0.2026,1.5869,1.6173,4.5329,0.597,6.864
287,0.0265,0.2849,0.3598,0.2194,0.1917,0.23,0.6509,0.0002,0.0002,0.0864,0.2125,1.6084,1.6384,4.8855,0.6006,7.2422
288,0.0327,0.2576,0.356,0.2194,0.1869,0.221,0.6368,0.0002,0.0002,0.0803,0.2176,1.5652,1.6028,5.741,0.6058,8.0886
289,0.028,0.2924,0.3575,0.2219,0.198,0.2462,0.6769,0.0002,0.0002,0.0846,0.2252,1.6505,1.6819,4.6877,0.616,7.112
290,0.0276,0.3044,0.3675,0.2205,0.1908,0.2353,0.6544,0.0002,0.0002,0.0822,0.2053,1.628,1.6594,6.7268,0.6066,9.1207
291,0.027,0.2878,0.3494,0.2105,0.2309,0.2324,0.6828,0.0003,0.0002,0.0719,0.2223,1.6288,1.6591,4.5988,0.6121,6.9873
292,0.0269,0.2747,0.3454,0.2218,0.1859,0.228,0.6415,0.0001,0.0002,0.0831,0.2064,1.5676,1.5979,4.5976,0.6119,6.9251
293,0.0273,0.2969,0.3475,0.2142,0.1791,0.2346,0.6362,0.0002,0.0002,0.077,0.2111,1.5839,1.6145,4.6004,0.617,6.9489
294,0.0276,0.2788,0.3472,0.2204,0.2216,0.2335,0.6832,0.0002,0.0001,0.0843,0.2114,1.6205,1.6516,4.5912,0.6111,6.9719
295,0.027,0.2952,0.3483,0.2249,0.1934,0.2316,0.6611,0.0002,0.0001,0.0805,0.2162,1.6149,1.6452,4.5751,0.6018,6.9386
296,0.027,0.2543,0.3282,0.202,0.1798,0.2249,0.6099,0.0002,0.0002,0.0768,0.2064,1.4837,1.5148,6.9256,0.6006,9.1583
297,0.0269,0.3003,0.3521,0.2185,0.1706,0.2331,0.6274,0.0002,0.0002,0.072,0.2194,1.5806,1.611,5.3231,0.5945,7.6457
298,0.0269,0.2807,0.3167,0.2101,0.1678,0.2265,0.6076,0.0003,0.0001,0.0744,0.2096,1.4961,1.526,4.5627,0.6116,6.8169
299,0.0271,0.2835,0.3429,0.2117,0.1752,0.2283,0.6183,0.0001,0.0002,0.0601,0.2207,1.5357,1.5657,4.5579,0.6103,6.8505
300,0.0271,0.3735,0.3438,0.2151,0.1672,0.2255,0.6109,0.0002,0.0002,0.0742,0.2039,1.613,1.6429,4.6182,0.6128,6.991
301,0.0263,0.2881,0.3128,0.2145,0.1701,0.2243,0.612,0.0002,0.0001,0.0667,0.217,1.5056,1.5351,4.6187,0.6101,6.8809
302,0.0284,0.2736,0.3119,0.216,0.1693,0.2195,0.608,0.0002,0.0001,0.0756,0.1966,1.4724,1.5037,4.6028,0.6091,6.8341
303,0.0271,0.2801,0.3218,0.2145,0.2193,0.2272,0.6641,0.0001,0.0002,0.0797,0.2029,1.5569,1.5871,4.575,0.6075,6.8864
304,0.0271,0.1572,0.3617,0.2079,0.1898,0.2235,0.6247,0.0002,0.0001,0.0797,0.2101,1.4429,1.474,5.6979,0.6033,7.8898
305,0.0264,0.2949,0.3401,0.2161,0.2035,0.2266,0.6512,0.0002,0.0002,0.0766,0.2158,1.5896,1.6191,4.6486,0.6094,6.9954
306,0.0271,0.3132,0.3411,0.2217,0.1709,0.2259,0.6218,0.0002,0.0002,0.0675,0.202,1.5537,1.5837,6.7113,0.8678,9.2789
307,0.0272,0.2805,0.34,0.2064,0.1703,0.2253,0.6051,0.0002,0.0001,0.0786,0.2094,1.521,1.5511,5.1619,0.8558,7.6844
