,Unnecessary Copy,copyParticleData,computeMinMax,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
183,0.0446,0.5294,0.4784,0.3188,0.2599,0.1726,0.2751,0.7109,0.0002,0.0002,0.0634,0.2732,2.39,2.4377,8.6882,1.1802,12.5072
184,0.0459,0.1946,0.4604,0.3223,0.2539,0.1892,0.2775,0.7259,0.0003,0.0002,0.0689,0.295,2.0789,2.1294,12.009,1.1522,15.4915
185,0.0476,0.319,0.4956,0.3416,0.264,0.1807,0.2802,0.7321,0.0003,0.0001,0.0684,0.2844,2.2613,2.3123,8.6347,1.1569,12.3167
186,0.0471,0.3722,0.4734,0.3516,0.2602,0.1852,0.2801,0.7314,0.0003,0.0002,0.0696,0.2738,2.2896,2.3403,8.8774,1.1492,12.5753
187,0.0455,0.3558,0.4792,0.3312,0.255,0.1878,0.2773,0.7275,0.0002,0.0002,0.0662,0.2622,2.2432,2.292,8.6224,1.1518,12.2712
188,0.0464,0.3584,0.478,0.34,0.2557,0.1843,0.2741,0.7212,0.0003,0.0002,0.0738,0.2667,2.2563,2.3058,8.5236,1.1441,12.1763
189,0.0447,0.3596,0.4786,0.3339,0.2587,0.1921,0.2785,0.7383,0.0003,0.0002,0.0834,0.2733,2.2828,2.3327,8.5893,1.149,12.2781
190,0.0448,0.3661,0.4764,0.3529,0.2554,0.2246,0.273,0.7613,0.0003,0.0002,0.0871,0.2885,2.3525,2.4006,8.6079,1.1516,12.3668
191,0.0452,0.4167,0.4853,0.3414,0.2535,0.1803,0.277,0.7165,0.0002,0.0001,0.0858,0.2745,2.3382,2.3868,8.5909,1.1482,12.3285
192,0.0489,0.2848,0.4591,0.3656,0.25,0.182,0.2688,0.7097,0.0002,0.0002,0.0769,0.2873,2.2037,2.2574,11.769,1.1495,15.3855
193,0.045,0.3314,0.4983,0.3242,0.2522,0.176,0.2769,0.7084,0.0002,0.0002,0.0823,0.2792,2.2375,2.2856,8.5922,1.1555,12.2336
194,0.0465,0.3561,0.4711,0.338,0.2545,0.1666,0.2737,0.6981,0.0002,0.0002,0.0713,0.2824,2.2289,2.2782,9.233,1.1508,12.8638
195,0.0452,0.3477,0.4756,0.3112,0.2586,0.2149,0.2731,0.7495,0.0001,0.0001,0.0741,0.284,2.2511,2.2992,8.5798,1.1462,12.2256
196,0.0454,0.4135,0.4792,0.303,0.2601,0.2131,0.2773,0.7535,0.0002,0.0001,0.0898,0.2807,2.3293,2.3777,8.5462,1.1415,12.2673
197,0.0452,0.3642,0.4771,0.312,0.2584,0.1616,0.2777,0.7006,0.0001,0.0002,0.0646,0.2658,2.1931,2.2411,8.5971,1.1522,12.1968
198,0.0486,0.3563,0.4894,0.3359,0.2658,0.17,0.279,0.7187,0.0002,0.0002,0.065,0.2771,2.2634,2.3151,8.6251,1.1545,12.3017
199,0.046,0.2946,0.4755,0.323,0.2555,0.2127,0.2767,0.748,0.0001,0.0001,0.073,0.2669,2.1891,2.2379,8.618,1.1517,12.2242
200,0.046,0.2776,0.4539,0.2936,0.2527,0.1754,0.2653,0.697,0.0002,0.0001,0.0695,0.2642,2.0684,2.1185,13.2107,1.1498,16.6768
201,0.0455,0.3741,0.4942,0.3478,0.2646,0.1615,0.2774,0.7065,0.0002,0.0001,0.0639,0.2764,2.2708,2.3192,8.6248,1.1613,12.311
202,0.0455,0.3534,0.4725,0.3206,0.2537,0.2126,0.2767,0.746,0.0002,0.0002,0.0711,0.2727,2.2439,2.2921,8.5458,1.1467,12.1855
203,0.0458,0.4108,0.4731,0.3169,0.2722,0.2609,0.2903,0.8376,0.0003,0.0001,0.092,0.2657,2.4056,2.4544,8.5809,1.1533,12.3907
204,0.0455,0.2901,0.4839,0.3434,0.2606,0.1785,0.2828,0.7344,0.0003,0.0002,0.0908,0.2806,2.2396,2.2883,8.5445,1.1496,12.1871
205,0.0459,0.4262,0.4889,0.3358,0.2569,0.1844,0.2804,0.7299,0.0003,0.0002,0.0921,0.2938,2.3858,2.4349,8.5837,1.1585,12.386
206,0.0455,0.3585,0.4788,0.3229,0.2543,0.1615,0.2763,0.6954,0.0001,0.0001,0.0629,0.2631,2.1969,2.2457,8.6489,1.1745,12.283
207,0.0454,0.4073,0.5096,0.3764,0.2648,0.1933,0.2827,0.7498,0.0003,0.0002,0.0804,0.2853,2.4328,2.4817,8.6643,1.155,12.5211
