,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
458,5.7052,32.198,4.2048,42.6159
459,5.6653,33.1333,4.1801,43.4815
460,5.7713,32.7685,4.4273,43.4788
461,5.7038,32.7602,4.1716,43.1404
462,8.1758,33.556,4.4034,46.6408
463,8.7534,32.3191,4.4104,45.9847
464,9.1998,32.2936,4.1729,46.1482
465,5.7523,32.7939,4.4087,43.4586
466,5.741,32.3124,4.154,42.7114
467,5.7161,33.2134,4.6441,44.0777
468,5.7759,32.1991,4.1573,42.6228
469,5.7431,31.6345,4.4087,42.2909
470,5.7437,32.2607,4.3814,42.8925
471,5.6983,32.4805,4.1685,42.8451
472,6.0873,32.1563,4.4026,43.1329
473,5.7845,32.0638,4.403,42.7575
474,5.7452,32.5387,4.3813,43.1688
475,5.7675,32.3332,4.3635,42.9644
476,5.7061,32.0931,4.124,42.4255
477,5.6742,31.3668,4.3909,41.9357
478,5.751,32.0354,4.3579,42.6557
479,5.7449,31.7177,4.0894,42.052
480,6.5459,31.8472,4.3607,43.2302
481,5.7469,31.3906,4.0928,41.7331
482,5.7614,31.2182,4.0929,41.5776
483,5.675,32.2606,4.3867,42.8227
484,5.7874,31.5647,4.3525,42.2074
485,5.6864,33.0296,4.1153,43.3349
486,5.8171,32.3007,4.066,42.7051
487,5.7107,32.0733,4.5826,42.8722
488,8.925,33.0071,4.3393,46.7245
489,5.7447,31.3597,4.0664,41.6727
490,5.7546,31.6382,4.0611,41.9662
491,5.6901,32.4218,4.0625,42.6747
492,8.418,32.4375,4.3451,45.7
493,6.1907,31.222,4.3539,42.2681
494,5.7512,31.3205,4.3422,41.9197
495,5.8131,30.792,4.3609,41.4729
496,9.1342,32.0699,4.029,45.7185
497,7.6006,33.5466,4.3319,45.9841
498,5.7824,31.7614,4.031,42.08
499,8.0461,31.6885,3.9996,44.2418
500,6.0355,32.3681,4.5904,43.502
501,8.4893,32.2738,4.0174,45.2857
502,5.7959,32.4257,4.3222,43.0521
503,5.7528,31.0365,3.9997,41.296
504,8.7907,31.0354,4.3148,44.663
505,5.7924,32.2418,4.3121,42.8618
506,5.7233,31.8047,3.9768,42.0172
507,5.6956,31.3041,4.2799,41.7855
508,5.7634,30.4124,3.9731,40.6553
509,5.7066,31.6973,4.2962,42.21
510,5.801,31.4709,4.3068,42.083
511,5.793,30.3186,3.9699,40.5873
512,9.2391,30.9205,4.2727,44.9117
513,5.707,30.8176,4.2905,41.3226
514,5.7811,30.7492,4.2898,41.3272
515,5.7213,31.9369,4.2891,42.4533
516,5.7165,30.4764,4.278,40.979
517,5.7701,30.9037,4.2668,41.4435
518,5.7675,31.0654,4.3306,41.6708
519,5.9753,30.9336,3.9377,41.3556
