,Unnecessary Copy,copyParticleData,computeMinMax,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
179,0.0206,0.309,0.2863,0.3067,0.2137,0.1754,0.2179,0.6111,0.0002,0.0002,0.0662,0.175,1.7667,1.7898,2.5296,0.3383,4.7233
180,0.021,0.3025,0.2946,0.3034,0.213,0.2107,0.22,0.6488,0.0002,0.0001,0.0684,0.1848,1.8175,1.8411,2.5176,0.3309,4.7572
181,0.0197,0.2916,0.2852,0.299,0.2041,0.1777,0.2193,0.6055,0.0002,0.0001,0.0669,0.1725,1.7314,1.7537,2.495,0.34,4.6545
182,0.0206,0.2936,0.2937,0.3045,0.2079,0.1772,0.216,0.6072,0.0002,0.0002,0.0747,0.1584,1.7423,1.7654,2.4835,0.3322,4.6455
183,0.0205,0.2938,0.2839,0.3055,0.2083,0.1706,0.2166,0.601,0.0002,0.0001,0.0698,0.1827,1.7505,1.7735,2.4975,0.3308,4.6671
184,0.0204,0.146,0.2755,0.302,0.2013,0.1718,0.2213,0.5977,0.0002,0.0002,0.097,0.1793,1.6092,1.6335,3.9492,0.3325,5.9857
185,0.0204,0.3065,0.2959,0.3175,0.2149,0.1808,0.2183,0.6219,0.0002,0.0002,0.0708,0.1754,1.801,1.8244,3.3358,0.3278,5.5569
186,0.0193,0.3001,0.2924,0.3118,0.2045,0.1692,0.2171,0.5957,0.0002,0.0002,0.0737,0.1704,1.7564,1.7786,2.478,0.3287,4.6498
187,0.0205,0.2926,0.2977,0.3098,0.2024,0.1741,0.2167,0.5976,0.0002,0.0002,0.0709,0.1775,1.7586,1.7817,2.4778,0.328,4.6526
188,0.0197,0.3036,0.2989,0.2962,0.2108,0.174,0.2141,0.6032,0.0001,0.0002,0.0657,0.1787,1.7585,1.7809,2.4903,0.3295,4.6658
