,Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
233,0.0197,0.2825,0.3396,0.2103,0.1742,0.2114,0.5988,0.0001,0.0001,0.0721,0.172,1.4724,1.4947,2.5424,0.3308,4.4396
234,0.0207,0.2778,0.332,0.2111,0.1794,0.2146,0.6099,0.0002,0.0001,0.0699,0.173,1.4722,1.4954,3.3071,0.3192,5.195
235,0.0191,0.2846,0.3172,0.2022,0.2138,0.2138,0.6327,0.0002,0.0001,0.0576,0.1872,1.4863,1.5077,2.4904,0.3292,4.398
236,0.0203,0.2793,0.3023,0.2026,0.1673,0.2121,0.5849,0.0001,0.0002,0.0651,0.1623,1.4006,1.423,2.4798,0.3227,4.299
237,0.0198,0.2643,0.2974,0.2018,0.1655,0.2129,0.5832,0.0001,0.0001,0.0732,0.1719,1.4031,1.4258,2.4645,0.3196,4.2809
238,0.0196,0.2737,0.3332,0.1995,0.2257,0.2153,0.6499,0.0002,0.0002,0.0844,0.176,1.5305,1.553,2.4971,0.3264,4.4482
239,0.0196,0.2731,0.3356,0.2106,0.1793,0.2173,0.6124,0.0003,0.0002,0.0778,0.1817,1.4938,1.5162,2.4891,0.32,4.3972
240,0.0224,0.1557,0.3546,0.1967,0.1815,0.2063,0.5923,0.0003,0.0002,0.0776,0.171,1.3695,1.3963,3.7776,0.324,5.5817
241,0.02,0.2806,0.3513,0.2106,0.1821,0.2215,0.6214,0.0002,0.0002,0.0843,0.1774,1.5294,1.5525,3.2648,0.3213,5.2126
242,0.0192,0.2812,0.3547,0.2043,0.1793,0.2216,0.6148,0.0003,0.0002,0.0727,0.1855,1.5218,1.5436,2.5023,0.3227,4.4415
