,Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
298,1.4277,2.3858,0.8344,10.0732,0.19,7.612,17.8871,0.0003,0.0002,0.3248,7.294,28.7495,30.1867,625.895,99.2836,771.461
299,1.4369,2.2599,1.2034,9.1207,0.1814,6.5332,15.8445,0.0002,0.0001,0.3257,7.2962,26.9518,28.398,626.879,99.5365,770.843
300,1.4597,2.1134,0.8834,9.1693,0.1758,6.1283,15.483,0.0003,0.0001,0.3117,7.2907,26.1014,27.5708,626.487,99.3058,769.572
301,1.4439,2.0875,0.8562,10.0001,0.1772,7.5608,17.7473,0.0003,0.0001,0.3252,7.3038,28.3422,29.796,630.5,100.934,777.474
302,1.4151,2.2742,0.8734,10.3231,0.1934,7.6832,18.2086,0.0002,0.0001,0.3161,7.2948,28.9894,30.4133,625.331,99.3551,771.06
303,1.4145,2.3196,1.3834,9.4155,0.1765,6.1145,15.7132,0.0002,0.0002,0.3141,7.3417,27.0896,28.5125,630.433,99.7534,774.805
304,1.2935,1.7236,1.0892,9.0327,0.186,6.5045,15.8011,0.0002,0.0001,0.3532,7.3007,26.277,27.581,627.418,98.8336,767.948
305,1.4326,2.1003,0.8433,10.0916,0.1581,7.5824,17.8383,0.0002,0.0001,0.3134,7.2863,28.4012,29.8436,623.549,99.4573,768.949
306,1.4393,2.4811,1.1305,9.8647,0.1712,6.18,16.2217,0.0002,0.0003,0.3098,7.2837,27.4435,28.8922,628.386,99.7669,773.228
307,1.4352,2.0824,0.8168,9.1658,0.162,6.1678,15.5003,0.0002,0.0002,0.3134,7.2879,26.0142,27.4608,630.216,99.2744,772.956
308,1.436,2.0976,0.8476,10.051,0.1828,7.5593,17.8025,0.0003,0.0002,0.3276,7.2954,28.3954,29.8417,627.58,99.4024,772.911
309,1.4333,2.3825,0.8396,10.2615,0.1773,7.6082,18.0577,0.0003,0.0002,0.3202,7.2937,28.9129,30.3555,625.34,99.4397,771.274
310,1.4421,2.4073,1.1506,9.8618,0.1749,6.1698,16.2178,0.0003,0.0001,0.3268,7.294,27.4158,28.8681,625.842,99.7914,770.618
311,1.4348,2.1366,0.8808,9.1395,0.2187,6.1599,15.5288,0.0002,0.0002,0.3149,7.2876,26.1698,27.6145,633.147,99.1756,776.054
312,1.2853,1.771,1.1058,9.5137,0.2024,6.5069,16.2312,0.0004,0.0001,0.3847,7.2931,26.7957,28.0906,624.71,100.604,767.394
313,1.4181,2.2388,0.8281,10.3041,0.1685,7.6356,18.1128,0.0001,0.0002,0.3103,7.2887,28.8028,30.23,624.264,99.4888,769.908
