,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,Compute neighbours,Copy sorting indexes to CPU,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
271,0.0102,0.2381,0.6827,0.052,0.0022,0.2544,0.0001,0.0874,0.1475,0.0003,0.226,0.7946,0.1435,1.8818,5.956,0.6032,8.5605
272,0.0114,0.2142,0.6719,0.0589,0.002,0.2445,0.0001,0.0732,0.1314,0.0002,0.2021,0.7302,0.1361,1.7771,6.0469,0.6139,8.5742
273,0.0097,0.2351,0.6701,0.0552,0.0027,0.3023,0.0001,0.0714,0.1336,0.0002,0.2228,0.8073,0.1281,1.8612,7.9651,0.9869,10.9393
274,0.0105,0.4302,0.651,0.0583,0.0027,0.2355,0.0001,0.0739,0.1331,0.0002,0.2243,0.7437,0.1262,1.9738,4.7422,0.921,7.7606
275,0.0108,0.2397,0.6553,0.0563,0.0019,0.246,0.0001,0.0718,0.1363,0.0002,0.2307,0.7626,0.1332,1.8175,5.9534,0.6046,8.4959
276,0.0099,0.273,0.6394,0.053,0.0015,0.2365,0.0001,0.0702,0.128,0.0002,0.2007,0.6987,0.1226,1.7508,6.1306,1.0135,9.0215
277,0.0106,0.2888,0.6397,0.0564,0.0016,0.2517,0.0001,0.0644,0.1266,0.0002,0.2044,0.7136,0.1193,1.7817,7.3412,0.6205,9.8646
278,0.0096,0.2925,0.6218,0.0546,0.0017,0.2384,0.0001,0.068,0.132,0.0002,0.2085,0.7131,0.1282,1.7757,4.747,0.6026,7.2435
279,0.0101,0.2225,0.681,0.0547,0.0036,0.2484,0.0001,0.0682,0.1358,0.0003,0.2035,0.7356,0.1288,1.7913,4.798,0.6215,7.3326
280,0.0109,0.2023,0.6447,0.0504,0.0027,0.2321,0.0001,0.0776,0.1272,0.0001,0.2017,0.708,0.1218,1.7063,7.1846,0.6053,9.6267
281,0.0095,0.2273,0.6522,0.0596,0.0018,0.2567,0.0002,0.0665,0.1354,0.0002,0.2253,0.7642,0.1205,1.7867,6.3664,0.7249,8.9971
282,0.0097,0.2372,0.6503,0.055,0.0016,0.2421,0.0001,0.0686,0.1324,0.0002,0.2118,0.7215,0.1242,1.7559,4.7246,0.6081,7.2084
283,0.01,0.2237,0.6512,0.0569,0.0015,0.2226,0,0.0725,0.1326,0.0002,0.218,0.7139,0.1212,1.7281,6.8754,0.6053,9.3288
284,0.0104,0.2305,0.6777,0.0545,0.0017,0.2379,0.0001,0.0688,0.1323,0.0002,0.2142,0.7225,0.1236,1.7741,4.7815,0.6117,7.2853
285,0.0102,0.2158,0.6386,0.0565,0.0018,0.2234,0.0001,0.0677,0.1281,0.0002,0.199,0.69,0.1225,1.6861,6.4194,0.6009,8.8265
286,0.0102,0.3089,0.6216,0.0524,0.0015,0.2349,0,0.0674,0.1289,0.0001,0.2146,0.7105,0.1323,1.7919,4.7553,0.6088,7.2733
287,0.01,0.3232,0.631,0.0575,0.0036,0.2332,0.0001,0.0695,0.1358,0.0002,0.2164,0.7326,0.1171,1.8233,6.1871,0.6103,8.74
288,0.0105,0.0869,0.6352,0.057,0.0016,0.2346,0,0.0743,0.1255,0.0002,0.2089,0.715,0.1302,1.5864,7.4454,0.8719,10.0275
289,0.0102,0.2375,0.662,0.0569,0.0023,0.23,0.0001,0.0689,0.1324,0.0002,0.2163,0.719,0.1379,1.7767,7.8266,1.053,10.7885
290,0.0094,0.2511,0.6954,0.0624,0.0036,0.2362,0.0001,0.0729,0.1404,0.0002,0.229,0.7676,0.1309,1.8719,7.2827,0.6014,9.8801
291,0.0102,0.2286,0.6248,0.0512,0.0015,0.241,0.0001,0.081,0.1404,0.0002,0.2169,0.748,0.1317,1.7503,4.9351,0.5992,7.4063
292,0.01,0.2244,0.6396,0.0539,0.0017,0.2285,0.0001,0.0693,0.1314,0.0002,0.205,0.6996,0.1281,1.7149,5.1713,0.6016,7.6108
293,0.0101,0.2223,0.6248,0.0578,0.0014,0.222,0,0.0665,0.129,0.0002,0.1996,0.6846,0.1243,1.6742,5.5172,0.5961,7.9083
294,0.0104,0.2314,0.6422,0.053,0.0016,0.242,0.0001,0.0661,0.1324,0.0002,0.2012,0.7068,0.1256,1.7263,4.7033,0.5971,7.145
295,0.0099,0.2187,0.6637,0.0612,0.0043,0.2505,0.0001,0.0719,0.1355,0.0002,0.2184,0.7609,0.1246,1.7895,5.0881,0.5923,7.5878
296,0.0103,0.1914,0.6435,0.0538,0.003,0.2893,0.0001,0.0729,0.1267,0.0002,0.2063,0.7709,0.127,1.7556,7.7675,0.9227,10.5781
297,0.0109,0.2475,0.6625,0.0631,0.0028,0.299,0.0001,0.0638,0.1334,0.0002,0.221,0.8023,0.1134,1.8493,7.0187,0.6049,9.6022
298,0.0105,0.2358,0.6508,0.0551,0.0019,0.2309,0.0001,0.0712,0.1356,0.0002,0.2138,0.7263,0.1301,1.7646,4.6268,0.5925,7.1019
299,0.0101,0.2146,0.6514,0.0531,0.0038,0.2538,0.0001,0.0726,0.1323,0.0003,0.2051,0.7397,0.1271,1.7537,4.7582,0.6053,7.2372
300,0.0098,0.2219,0.6374,0.0485,0.0015,0.2523,0.0001,0.0859,0.132,0.0002,0.2137,0.7507,0.1287,1.7579,5.5363,0.6234,8.0366
301,0.0098,0.2222,0.6712,0.0546,0.0026,0.2242,0.0001,0.0687,0.1318,0.0001,0.2043,0.6961,0.1186,1.7271,4.696,0.6017,7.1432
302,0.0104,0.2207,0.6128,0.0542,0.0015,0.251,0.0001,0.0717,0.1249,0.0001,0.2146,0.7277,0.1204,1.6995,5.1765,0.5947,7.5934
303,0.0099,0.2258,0.6714,0.0563,0.0036,0.2758,0.0001,0.072,0.1335,0.0003,0.2202,0.7813,0.1212,1.8232,4.749,0.6044,7.2957
304,0.0118,0.2021,0.6535,0.0674,0.0022,0.2491,0.0001,0.0808,0.1267,0.0001,0.2087,0.7553,0.1363,1.7812,8.3504,1.064,11.3304
305,0.0097,0.247,0.6619,0.0601,0.0021,0.2485,0.0001,0.0704,0.1323,0.0002,0.2183,0.7498,0.1314,1.8104,8.1183,0.9589,11.0121
306,0.0091,0.2309,0.6418,0.0631,0.0032,0.2478,0.0001,0.0742,0.1326,0.0002,0.2176,0.7568,0.1288,1.7787,7.2574,0.9044,10.0673
307,0.0093,0.2288,0.6396,0.0557,0.0016,0.2241,0,0.0705,0.1294,0.0001,0.2239,0.7162,0.1259,1.7283,4.7092,0.602,7.1613
308,0.0101,0.2328,0.6191,0.0562,0.0027,0.225,0.0001,0.0668,0.127,0.0002,0.2112,0.6992,0.1326,1.7045,4.7457,0.6016,7.1756
309,0.01,0.22,0.6399,0.0517,0.0015,0.2146,0.0001,0.0673,0.1276,0.0002,0.2238,0.6979,0.1251,1.7016,4.7134,0.6146,7.1503
310,0.0106,0.2347,0.6135,0.0528,0.0017,0.2111,0.0001,0.0628,0.1256,0.0002,0.2172,0.6823,0.1266,1.6774,6.8347,0.6061,9.2462
311,0.0097,0.2335,0.6667,0.0544,0.0039,0.2466,0.0001,0.0687,0.1319,0.0002,0.2051,0.7281,0.109,1.7617,4.8943,0.9533,7.7274
312,0.0106,0.1952,0.6494,0.0589,0.0019,0.2293,0.0001,0.0716,0.1231,0.0001,0.1971,0.6967,0.1363,1.7051,6.8833,0.6019,9.3187
313,0.0103,0.2352,0.6821,0.0587,0.002,0.2354,0.0001,0.0744,0.1291,0.0002,0.2111,0.729,0.1339,1.8025,5.778,0.6023,8.3071
314,0.0107,0.273,0.6749,0.0558,0.002,0.2362,0.0001,0.076,0.1365,0.0003,0.2169,0.7404,0.1248,1.8342,5.5216,0.7604,8.2413
315,0.0099,0.3594,0.6586,0.0543,0.0043,0.2384,0.0001,0.0667,0.1362,0.0002,0.2179,0.7368,0.1315,1.9089,4.7496,0.5982,7.3755
316,0.0102,0.2233,0.6613,0.0557,0.0022,0.2234,0.0001,0.0711,0.1338,0.0002,0.2189,0.7204,0.1287,1.7536,5.195,0.932,8.0021
317,0.0096,0.2369,0.6799,0.0493,0.0025,0.2525,0.0001,0.0635,0.1315,0.0002,0.2156,0.7322,0.1229,1.7944,4.7684,0.6031,7.285
318,0.0095,0.2275,0.6469,0.0598,0.0037,0.2306,0.0001,0.0697,0.1352,0.0002,0.2122,0.7287,0.1315,1.7575,4.9488,0.6057,7.4317
319,0.0101,0.227,0.674,0.0563,0.0039,0.2342,0.0001,0.0718,0.134,0.0002,0.2198,0.7357,0.1198,1.7797,4.821,0.6097,7.3316
320,0.0105,0.1175,0.6704,0.0615,0.0017,0.2412,0,0.0753,0.1245,0.0001,0.2168,0.738,0.1303,1.6811,7.063,0.6012,9.4728
321,0.0112,0.2319,0.6663,0.0554,0.0025,0.2349,0.0001,0.0716,0.1302,0.0001,0.2245,0.7373,0.1353,1.7942,5.4205,0.5941,7.9327
322,0.0101,0.2289,0.6298,0.0589,0.0027,0.2327,0.0001,0.0702,0.1337,0.0002,0.2071,0.7234,0.1298,1.734,4.6819,0.597,7.1322
