,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
343,0.0064,0.208,0.556,0.0528,0.0017,0.225,0.0001,0.0454,0.1209,0.0002,0.0775,0.2438,0.7779,1.5549,3.4208,0.4716,5.5178
344,0.0065,0.0818,0.5961,0.0577,0.002,0.2315,0.0001,0.0538,0.1099,0.0002,0.0827,0.2497,0.8013,1.4952,2.8684,0.2773,4.7131
345,0.0063,0.2176,0.5871,0.0562,0.0021,0.2864,0,0.0458,0.1262,0.0002,0.1246,0.2503,0.9055,1.725,2.4116,0.275,4.4844
346,0.006,0.2118,0.5724,0.0583,0.002,0.2801,0.0001,0.0462,0.1216,0.0002,0.1218,0.2458,0.8895,1.6857,4.0963,0.388,6.2487
347,0.0063,0.2143,0.5876,0.0559,0.0054,0.292,0.0001,0.0461,0.1094,0.0002,0.1221,0.2484,0.8997,1.7167,2.3808,0.2679,4.438
348,0.006,0.2108,0.5612,0.0538,0.0018,0.2722,0.0002,0.0449,0.1155,0.0002,0.1215,0.2522,0.8804,1.6669,2.3125,0.2684,4.3171
349,0.006,0.21,0.5879,0.0543,0.0019,0.2305,0.0001,0.0448,0.1112,0.0002,0.08,0.2255,0.7667,1.5795,3.1893,0.4338,5.2753
350,0.0061,0.2118,0.5883,0.0561,0.0021,0.2825,0.0001,0.0466,0.1101,0.0002,0.1254,0.2504,0.8925,1.7084,2.4253,0.2668,4.471
351,0.0061,0.2139,0.5794,0.0554,0.003,0.2309,0.0001,0.0482,0.127,0.0002,0.0745,0.2477,0.8095,1.6186,2.2513,0.2696,4.2089
352,0.0061,0.1792,0.6293,0.0572,0.0041,0.281,0.0001,0.0474,0.1127,0.0003,0.1303,0.2472,0.9026,1.7304,3.0984,0.4522,5.3567
353,0.0059,0.2213,0.5999,0.0567,0.0019,0.2418,0.0002,0.0466,0.1101,0.0002,0.0791,0.2635,0.8187,1.6557,2.6595,0.2716,4.6619
354,0.006,0.213,0.5762,0.057,0.0019,0.28,0.0001,0.0462,0.1289,0.0002,0.1304,0.2404,0.9044,1.7088,2.7486,0.2765,4.8083
355,0.0062,0.2235,0.5812,0.064,0.0023,0.2821,0.0001,0.0478,0.125,0.0002,0.1333,0.2501,0.9199,1.7405,3.0478,0.2693,5.1296
356,0.006,0.2127,0.6033,0.0564,0.0028,0.286,0.0001,0.0491,0.1102,0.0002,0.1257,0.2543,0.9035,1.7364,3.0753,0.27,5.1544
357,0.0056,0.2076,0.572,0.0528,0.0035,0.2319,0.0001,0.0469,0.1306,0.0003,0.0894,0.2503,0.8251,1.6194,3.1347,0.2623,5.0872
358,0.006,0.2142,0.5889,0.0543,0.0042,0.2732,0.0001,0.048,0.1233,0.0001,0.1152,0.2292,0.8666,1.6863,3.8791,0.4639,6.0979
359,0.0061,0.2095,0.5858,0.0568,0.0034,0.2666,0.0001,0.0458,0.1105,0.0002,0.1242,0.2444,0.8722,1.6828,2.2582,0.2633,4.2741
360,0.0064,0.0875,0.5726,0.0624,0.0022,0.2351,0.0001,0.0472,0.1118,0.0002,0.0746,0.2424,0.7956,1.472,3.549,0.3543,5.4469
361,0.0092,0.223,0.5774,0.0596,0.0045,0.2748,0.0001,0.0432,0.1136,0.0003,0.1286,0.2436,0.8854,1.7068,3.2904,0.375,5.442
362,0.006,0.2063,0.5752,0.0502,0.0022,0.2777,0.0001,0.0455,0.1236,0.0002,0.1268,0.2411,0.8858,1.6831,2.263,0.2639,4.2787
363,0.0061,0.2057,0.5552,0.0582,0.0034,0.282,0.0001,0.0466,0.1242,0.0002,0.1196,0.2406,0.8954,1.6696,3.1709,0.4492,5.3629
364,0.0059,0.2297,0.5805,0.0636,0.0046,0.3005,0.0001,0.0511,0.1295,0.0003,0.1303,0.2631,0.9653,1.7923,2.575,0.2605,4.7012
365,0.006,0.216,0.6036,0.0538,0.0037,0.2316,0.0002,0.0507,0.1289,0.0002,0.0858,0.2539,0.832,1.6689,2.243,0.2605,4.2417
366,0.0061,0.2101,0.5608,0.0536,0.0017,0.2675,0.0001,0.044,0.1235,0.0001,0.1182,0.2234,0.8433,1.6279,3.6321,0.4944,5.8279
367,0.0061,0.2102,0.5594,0.0554,0.0017,0.2236,0.0001,0.0458,0.1113,0.0001,0.0805,0.2425,0.7716,1.5548,2.2427,0.2609,4.1271
368,0.0063,0.1703,0.5924,0.0618,0.0024,0.2743,0.0001,0.0479,0.113,0.0002,0.1205,0.2421,0.8776,1.6568,2.8255,0.2655,4.8186
369,0.0065,0.2187,0.5701,0.056,0.0022,0.2804,0.0001,0.0487,0.1156,0.0002,0.1334,0.2513,0.9025,1.7072,3.1144,0.4571,5.3536
370,0.0067,0.2129,0.573,0.0572,0.0021,0.2767,0.0001,0.0499,0.1093,0.0001,0.1241,0.2447,0.8767,1.6774,3.473,0.2639,5.4882
371,0.0063,0.2132,0.5802,0.0578,0.0032,0.2795,0.0001,0.0486,0.1115,0.0002,0.1258,0.2515,0.9063,1.714,2.3275,0.2775,4.3897
372,0.0059,0.2109,0.5697,0.0598,0.0021,0.2793,0.0001,0.0515,0.1167,0.0001,0.1272,0.2271,0.8787,1.6749,3.8419,0.4799,6.075
373,0.0061,0.2088,0.5879,0.0578,0.0016,0.2195,0.0001,0.0461,0.1235,0.0001,0.0846,0.2176,0.7605,1.5696,2.8184,0.2682,4.7251
374,0.0061,0.2133,0.5549,0.0536,0.0014,0.2729,0,0.0438,0.1117,0.0002,0.1197,0.2468,0.8588,1.6376,2.4665,0.2682,4.4407
375,0.0061,0.2489,0.5451,0.0542,0.0014,0.2672,0,0.0426,0.1099,0.0002,0.1236,0.2496,0.857,1.6615,2.4228,0.2709,4.4235
376,0.0059,0.1736,0.5631,0.0526,0.002,0.2426,0.0001,0.0448,0.1115,0.0002,0.0792,0.2557,0.8036,1.5541,4.1065,0.4856,6.2153
377,0.0058,0.2083,0.5679,0.0551,0.0018,0.2727,0.0001,0.0458,0.1293,0.0002,0.1219,0.2379,0.876,1.6645,3.6527,0.4405,5.8326
378,0.0058,0.2403,0.629,0.0565,0.0039,0.2794,0.0001,0.0469,0.1245,0.0002,0.1247,0.2328,0.8897,1.7748,2.2013,0.2739,4.3181
379,0.0061,0.2072,0.5749,0.0563,0.0034,0.2286,0.0001,0.0587,0.1254,0.0003,0.0775,0.2348,0.8031,1.6018,2.1626,0.2812,4.1188
380,0.0063,0.2139,0.5827,0.0597,0.0031,0.2245,0.0001,0.0539,0.1257,0.0003,0.0827,0.247,0.8173,1.6304,2.2844,0.2747,4.26
381,0.0059,0.2116,0.5536,0.0553,0.0017,0.2248,0.0001,0.0456,0.1245,0.0002,0.0829,0.2644,0.8112,1.5911,2.2231,0.276,4.1642
382,0.0061,0.2109,0.5674,0.0537,0.0033,0.2862,0.0001,0.0471,0.1257,0.0002,0.1211,0.2556,0.9137,1.7072,2.2064,0.2748,4.2573
383,0.0062,0.2062,0.5674,0.0539,0.0033,0.2385,0.0002,0.0458,0.1247,0.0002,0.0825,0.2484,0.8172,1.6052,2.1818,0.2735,4.1292
384,0.0063,0.0835,0.5944,0.0562,0.002,0.2863,0.0001,0.0527,0.11,0.0002,0.1316,0.269,0.9294,1.6235,3.5964,0.2769,5.5737
385,0.01,0.2152,0.5658,0.0534,0.0028,0.2441,0.0001,0.0531,0.1255,0.0002,0.0772,0.2516,0.83,1.6293,3.0446,0.2754,5.0252
386,0.0063,0.2059,0.5475,0.0516,0.0017,0.2557,0.0001,0.0435,0.123,0.0002,0.1247,0.2249,0.8352,1.5999,2.1707,0.2776,4.1167
387,0.0059,0.2068,0.5392,0.0513,0.0016,0.2536,0.0001,0.05,0.1175,0.0002,0.1199,0.2297,0.8336,1.593,2.1548,0.2781,4.0945
388,0.0061,0.2135,0.5238,0.054,0.0014,0.2641,0.0001,0.0463,0.122,0.0002,0.1215,0.2159,0.8341,1.5818,2.2382,0.2781,4.1673
389,0.0061,0.2081,0.5679,0.0472,0.0016,0.214,0.0001,0.0436,0.127,0.0002,0.0765,0.2253,0.7439,1.5313,2.1687,0.2822,4.0513
390,0.0058,0.2058,0.5533,0.0545,0.0016,0.218,0,0.0443,0.1238,0.0002,0.0756,0.2229,0.7498,1.5189,2.1773,0.2783,4.0428
391,0.0058,0.2054,0.5373,0.0555,0.0016,0.2215,0.0001,0.0488,0.124,0.0002,0.076,0.2342,0.7708,1.5251,2.4095,0.2778,4.2834
392,0.006,0.1754,0.5861,0.054,0.0021,0.2343,0.0001,0.0444,0.1123,0.0002,0.0791,0.232,0.7737,1.5483,3.7588,0.4558,5.8342
393,0.0062,0.2115,0.5872,0.0514,0.0015,0.2716,0.0001,0.0482,0.124,0.0002,0.1188,0.226,0.8513,1.6631,2.1637,0.2833,4.1805
394,0.0064,0.2046,0.546,0.055,0.0015,0.2209,0.0001,0.0505,0.1215,0.0001,0.0771,0.2258,0.7616,1.5243,2.1598,0.2858,4.0387
395,0.0059,0.2043,0.5389,0.0542,0.0014,0.2119,0,0.0431,0.121,0.0001,0.078,0.2428,0.7648,1.5186,2.1755,0.2841,4.0469
396,0.006,0.2044,0.5565,0.0523,0.0016,0.2207,0.0001,0.0425,0.1231,0.0001,0.075,0.2188,0.7438,1.5158,2.1579,0.2844,4.0287
397,0.0063,0.201,0.5529,0.0563,0.0016,0.2262,0.0001,0.0442,0.123,0.0001,0.0792,0.2408,0.7879,1.5569,2.1798,0.2894,4.0948
398,0.0062,0.2081,0.5713,0.0549,0.0044,0.2394,0.0001,0.0484,0.1316,0.0003,0.0952,0.2612,0.8594,1.6575,2.2517,0.2793,4.2588
399,0.0061,0.2135,0.5949,0.0566,0.0023,0.2825,0.0001,0.0485,0.1286,0.0001,0.124,0.2468,0.9117,1.7367,2.1304,0.2916,4.2286
400,0.0061,0.1803,0.5792,0.0579,0.0024,0.2999,0.0001,0.0502,0.1196,0.0002,0.1215,0.2472,0.9183,1.696,4.0407,0.4717,6.2911
401,0.0062,0.2222,0.618,0.0474,0.002,0.2667,0,0.0456,0.1232,0.0002,0.1198,0.2492,0.8673,1.7235,2.9373,0.2958,5.0326
402,0.0062,0.2097,0.5788,0.0568,0.002,0.296,0.0001,0.0509,0.1279,0.0002,0.1251,0.2475,0.9274,1.7314,2.5584,0.2946,4.6539
403,0.0062,0.2052,0.5811,0.0541,0.0022,0.2454,0.0001,0.048,0.124,0.0002,0.0836,0.2528,0.8283,1.6298,2.1403,0.292,4.1315
404,0.0062,0.2033,0.565,0.053,0.0018,0.2863,0.0001,0.0491,0.1259,0.0002,0.1282,0.2423,0.9067,1.6883,2.2547,0.2915,4.3206
405,0.0062,0.2079,0.5862,0.0543,0.0017,0.2666,0.0001,0.0462,0.1236,0.0002,0.1213,0.2393,0.8643,1.6742,2.189,0.2966,4.2291
406,0.0061,0.2144,0.54,0.0534,0.0015,0.2656,0,0.0422,0.1231,0.0001,0.1226,0.2286,0.8481,1.6155,2.2081,0.3061,4.1981
407,0.0064,0.2144,0.5588,0.0515,0.0016,0.2813,0.0001,0.0461,0.1244,0.0002,0.1279,0.2423,0.8899,1.6754,2.1474,0.3006,4.1918
408,0.007,0.1826,0.5767,0.0557,0.0022,0.2815,0.0001,0.0509,0.1188,0.0003,0.134,0.2523,0.9152,1.6943,3.9613,0.492,6.2242
409,0.006,0.217,0.5818,0.0513,0.0018,0.3035,0.0001,0.0486,0.1308,0.0003,0.1263,0.2576,0.9416,1.7556,2.1504,0.3034,4.2796
410,0.0061,0.2064,0.5726,0.0531,0.0039,0.2946,0.0001,0.0479,0.1298,0.0001,0.1215,0.2327,0.9035,1.6973,2.2488,0.3055,4.3219
411,0.0061,0.2168,0.5569,0.0582,0.0056,0.2741,0.0001,0.0465,0.1255,0.0001,0.1232,0.2324,0.8848,1.6726,2.2005,0.3101,4.2524
