,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,Compute neighbours,Copy sorting indexes to CPU,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
129,0.0401,0.334,1.038,0.0581,0.0032,0.3189,0.0001,0.0963,0.2102,0.0002,0.4608,1.1673,0.138,2.731,21.9631,2.8821,28.0548
130,0.0428,0.3454,1.0685,0.0594,0.0034,0.324,0.0001,0.091,0.2063,0.0002,0.454,1.1539,0.1509,2.7729,22.2453,2.8801,28.3684
131,0.0379,0.3159,1.0427,0.0519,0.0017,0.3266,0.0001,0.0847,0.2099,0.0001,0.4554,1.1428,0.1474,2.6988,22.4303,2.8799,28.4789
132,0.0402,0.3349,1.0871,0.058,0.0034,0.3097,0.0001,0.1014,0.211,0.0002,0.4516,1.1544,0.1419,2.7713,22.3097,2.8877,28.4444
133,0.0386,0.4953,1.0304,0.0519,0.0014,0.3167,0.0001,0.0764,0.2053,0.0001,0.455,1.116,0.1405,2.8338,22.372,2.9013,28.5852
134,0.0344,0.3333,1.0475,0.052,0.0015,0.2697,0,0.072,0.2069,0.0002,0.4725,1.0837,0.1516,2.6618,22.3555,2.8823,28.3727
135,0.0255,0.3408,1.0226,0.055,0.0015,0.3207,0,0.0718,0.213,0.0002,0.4623,1.1333,0.1434,2.675,22.3475,2.8927,28.3819
136,0.0298,0.1657,1.0458,0.0656,0.0023,0.3287,0.0001,0.0837,0.2044,0.0002,0.456,1.1597,0.1486,2.5662,26.9355,2.9085,32.8726
137,0.0383,0.33,1.0276,0.0628,0.0037,0.2895,0.0001,0.0829,0.208,0.0002,0.4588,1.1258,0.1442,2.6784,22.8112,2.9084,28.8686
138,0.0402,0.337,1.0689,0.0579,0.0019,0.3263,0.0001,0.0923,0.213,0.0002,0.4656,1.1774,0.1515,2.7864,22.4043,2.9133,28.5739
139,0.0381,0.4939,1.0953,0.0539,0.0023,0.3407,0.0002,0.0844,0.214,0.0002,0.4532,1.1669,0.1758,2.9818,29.1244,4.793,37.3741
140,0.041,0.336,1.0912,0.0586,0.0039,0.3296,0.0001,0.0875,0.213,0.0003,0.4615,1.1735,0.1597,2.8156,25.0311,4.1528,32.4737
141,0.0419,0.331,1.0632,0.0525,0.0017,0.3167,0.0001,0.0862,0.2131,0.0002,0.4834,1.1712,0.1587,2.7776,25.7798,4.9977,34.0203
142,0.043,0.3209,1.0266,0.0537,0.0038,0.3347,0.0001,0.0874,0.2171,0.0002,0.4748,1.1909,0.1484,2.7422,26.5908,2.9332,32.7379
143,0.0401,0.3489,1.0516,0.0524,0.0042,0.2833,0.0001,0.0919,0.2107,0.0002,0.4536,1.1163,0.1461,2.7133,28.5194,2.9387,34.6482
144,0.0607,0.1371,1.0674,0.0559,0.0016,0.3076,0.0001,0.0805,0.2081,0.0002,0.4534,1.1169,0.1454,2.54,36.1381,3.643,42.785
145,0.0378,0.2832,1.0807,0.0577,0.0026,0.3339,0.0001,0.0909,0.2137,3.7772,0.6342,5.1353,0.1387,6.6901,22.3291,2.9022,32.3759
146,0.039,0.3238,1.0332,0.0507,0.0025,0.2606,0.0001,0.0785,0.2076,0.0002,0.4691,1.0784,0.1475,2.6312,22.1398,2.8844,28.1237
147,0.0408,0.3745,1.0317,0.052,0.0015,0.3129,0.0001,0.0674,0.2064,3.569,0.6227,4.8497,0.1637,6.4758,22.3068,2.8944,32.1471
148,0.0377,0.3264,1.0588,0.0563,0.0035,0.3188,0.0001,0.0753,0.2117,3.5942,0.6185,4.9009,0.1454,6.4809,22.4702,2.8946,32.3168
149,0.0382,0.3561,1.0532,0.0529,0.0016,0.2736,0.0001,0.0693,0.2104,0.0001,0.457,1.0745,0.1564,2.6901,22.9445,2.8933,29.0171
150,0.0409,0.3281,1.0344,0.0509,0.0024,0.3182,0,0.0812,0.2095,3.7618,0.6232,5.0627,0.1492,6.6273,22.3547,2.9072,32.3589
151,0.0412,0.3184,1.034,0.0532,0.0016,0.2689,0,0.0904,0.2124,0.0002,0.4676,1.1054,0.1462,2.6564,22.3161,2.9047,28.347
152,0.0606,0.2312,1.0753,0.0649,0.0042,0.2791,0.0002,0.0869,0.2046,0.0001,0.4552,1.1146,0.1472,2.6451,25.6572,2.925,31.7081
153,0.0433,0.3315,1.0826,0.0593,0.0021,0.2873,0.0001,0.0767,0.2098,0.0002,0.488,1.138,0.1373,2.7485,23.5572,2.8929,29.6761
154,0.0388,0.3167,1.0445,0.0561,0.0026,0.2663,0.0001,0.075,0.2119,0.0002,0.4779,1.1038,0.159,2.6792,22.3596,2.9309,28.4478
155,0.0416,0.3992,1.0782,0.0587,0.0032,0.2725,0.0001,0.0914,0.2147,0.0002,0.4698,1.1307,0.1584,2.8202,22.4006,2.9031,28.5982
156,0.0393,0.3989,1.0683,0.0589,0.0019,0.3252,0.0002,0.094,0.2127,0.0002,0.4625,1.1734,0.1353,2.8271,22.4698,2.9057,28.6694
