,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
504,0.835,1.0621,13.0113,0.1186,0.0037,0.7597,0.0002,0.0751,2.7459,0.0003,8.3207,7.6363,19.678,34.6003,646.728,88.5235,780.529
505,0.7353,1.6275,12.9557,0.0648,0.006,0.8106,0.0001,0.0775,2.7247,0.0002,8.4009,7.6057,19.7151,35.055,642.834,89.48,780.238
506,0.7524,1.5732,13.1496,0.062,0.0037,1.0235,0.0001,0.0863,2.7313,0.0002,8.5169,7.5887,20.0259,35.5221,649.992,89.1491,787.487
507,0.7759,1.6847,13.2109,0.0673,0.0057,1.0371,0.0001,0.0918,2.7505,0.0002,8.5118,7.6043,20.094,35.7882,646.295,89.1567,784.117
508,0.7648,1.6034,13.1018,0.0642,0.0042,1.0176,0.0002,0.0863,2.7601,0.0002,8.3348,7.6009,19.8932,35.384,644.565,88.918,781.717
509,0.7597,1.864,14.0339,0.0637,0.0046,0.8732,0.0001,0.072,2.7353,0.0002,8.5146,7.608,19.8984,36.5814,645.286,94.2599,788.904
510,0.7802,1.5885,12.8419,0.0629,0.0042,0.7853,0.0002,0.0752,2.7337,0.0002,8.4679,7.6005,19.7538,34.9859,644.26,89.1596,781.145
511,0.7926,1.608,13.0941,0.0625,0.0033,1.0057,0.0002,0.0873,2.7524,0.0003,8.3925,7.5971,19.9231,35.4722,650.995,89.2043,788.47
512,0.7862,1.0344,13.6594,0.0606,0.0036,0.7547,0.0001,0.0679,2.7364,0.0002,8.4728,7.6226,19.7301,35.2247,643.869,89.4426,779.459
513,0.7659,1.62,13.326,0.0702,0.0044,0.9559,0.0001,0.099,2.7294,0.0002,8.4633,7.6009,19.9471,35.6811,645.659,89.0389,783.168
514,0.7409,1.5931,12.7296,0.067,0.0061,0.8515,0.0003,0.0744,2.7386,0.0003,8.5351,7.5951,19.8914,34.9731,644.566,89.0191,781.496
515,0.7538,1.6017,13.1381,0.061,0.004,1.0233,0.0002,0.0908,2.7573,0.0002,8.3825,7.6135,19.9532,35.4632,647.023,89.3688,784.725
516,0.756,1.5894,13.0483,0.0607,0.0025,1.0424,0.0003,0.0848,2.7485,0.0001,8.5039,7.5965,20.057,35.4757,647.677,89.0212,785.133
517,0.7836,1.7802,14.2553,0.0518,0.0026,0.7825,0.0001,0.0719,2.7332,0.0002,8.3707,7.586,19.6162,36.4546,645.229,89.3285,783.902
518,0.7864,1.5839,12.7999,0.0635,0.0038,0.7852,0.0001,0.1541,2.7505,0.0004,8.3348,7.604,19.715,34.9045,645.243,89.6925,782.674
519,0.7377,1.6125,13.1522,0.0653,0.0051,1.0319,0.0001,0.0934,2.7521,0.0003,8.2473,7.5971,19.8168,35.3382,653.206,89.648,790.96
