,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
500,2.3791,7.8975,0.9776,11.4759
501,2.3797,7.9241,0.9816,11.5052
502,2.3667,8.2086,0.9771,11.773
503,2.3936,7.857,0.9792,11.4501
504,3.4909,9.2985,0.9751,13.9959
505,2.4068,8.0134,0.9824,11.6316
506,2.3745,7.8629,0.9969,11.4554
507,2.3794,7.92,0.9748,11.4915
508,2.3975,7.8186,0.9679,11.4061
509,2.4763,8.0291,0.9939,11.724
510,2.433,7.9805,0.9864,11.623
511,2.4131,8.045,0.9801,11.6609
512,3.4684,9.4326,0.9718,14.0922
513,2.3835,7.8956,1.0438,11.5448
514,2.3668,7.9351,0.9699,11.4937
515,2.5181,7.8148,0.9628,11.519
516,2.3779,7.9384,0.9726,11.5116
517,2.379,7.8253,0.9678,11.3973
518,2.3855,7.837,0.9703,11.4147
519,2.3915,7.7738,0.955,11.3388
