,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
500,0.0968,0.8437,2.6086,0.0552,0.002,0.3873,0.0001,0.0571,0.4464,0.0002,1.1826,1.2674,3.4211,6.9828,72.5623,9.7894,91.0855
501,0.0944,0.8527,2.5778,0.0539,0.0017,0.3844,0.0001,0.0549,0.4584,0.0002,1.1752,1.258,3.4018,6.9395,72.3611,9.7732,90.8118
502,0.1031,0.8551,2.2907,0.0537,0.0033,0.3983,0.0001,0.0576,0.4616,0.0002,1.1957,1.2589,3.4526,6.7149,72.5268,9.7856,90.7763
503,0.0965,0.9444,2.4564,0.0542,0.0044,0.3902,0.0001,0.0577,0.4441,0.0002,1.1592,1.2614,3.393,6.9023,72.5679,9.7954,90.9887
504,0.0961,0.3132,2.329,0.0574,0.0031,0.3806,0.0001,0.06,0.4362,0.0001,1.1718,1.2506,3.3865,6.1392,79.3024,9.7626,96.781
505,0.0955,0.863,2.5927,0.0634,0.0015,0.3877,0.0001,0.0551,0.4554,0.0002,1.1949,1.2457,3.4186,6.9834,72.3615,9.829,90.9385
506,0.0972,0.871,2.2844,0.0568,0.004,0.4368,0.0001,0.0591,0.4586,0.0002,1.22,1.2648,3.5215,6.7875,88.291,9.9365,106.751
507,0.0967,0.8574,2.5486,0.0542,0.0021,0.4424,0.0001,0.0581,0.4495,0.0003,1.2028,1.2487,3.4795,6.9929,84.8246,9.8988,103.45
508,0.0951,0.8585,2.4112,0.0559,0.0018,0.4063,0.0001,0.057,0.4634,0.0002,1.1832,1.2599,3.4498,6.8254,79.5853,10.5112,98.6934
509,0.0958,0.8484,2.6404,0.0575,0.0037,0.3843,0.0001,0.0624,0.4456,0.0002,1.179,1.2538,3.4064,7.0044,77.4384,9.9469,96.1263
