Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Overhead,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Overhead,Run hipNSearch,Overhead,neighborhood search,constraint projection,XSPH viscosity computation,Overhead,SimStep
1.4198,2.5148,1.134,7.8026,0.2435,4.6399,,12.6901,0.0002,0.0003,0.3071,6.5402,,23.2096,,24.6383,522.927,76.2785,,639.84
1.4363,2.3863,0.8498,7.6345,0.2708,6.1052,,14.0239,0.0002,0.0002,0.3264,6.5338,,24.1347,,25.5812,523.412,76.3128,,641.404
1.4321,2.3434,1.1705,7.8697,0.2127,4.861,,12.948,0.0001,0.0002,0.3122,6.5488,,23.381,,24.8214,529.569,76.4768,,647.13
1.4363,2.2396,0.8417,7.6478,0.2479,6.1261,,14.0325,0.0002,0.0001,0.3181,6.5696,,24.0241,,25.4695,528.838,76.5735,,646.864
1.2653,1.5224,1.0544,7.9579,0.3674,4.7412,,13.0711,0.0002,0.0001,0.3485,6.5855,,22.5937,,23.8706,530.826,76.4551,,644.598
1.4155,2.143,0.8599,7.6686,0.2369,6.2171,,14.1336,0.0002,0.0002,0.3135,6.5862,,24.0496,,25.4744,535,76.8406,,653.226
1.423,2.3442,1.2094,7.5412,0.2444,4.9745,,12.7698,0.0002,0.0002,0.3167,6.6368,,23.2979,,24.7296,536.878,77.0057,,654.474
1.4533,2.2702,0.8431,7.8445,0.2517,6.3176,,14.4221,0.0002,0.0002,0.3131,6.6302,,24.5008,,25.9634,536.687,77.5228,,656.369
1.4575,2.3678,1.1661,8.1697,0.2157,4.6679,,13.0653,0.0002,0.0001,0.3138,6.6152,,23.5481,,25.0163,532.587,77.6972,,651.552
1.4355,2.1402,0.8704,7.8186,0.2365,6.2821,,14.3479,0.0002,0.0004,0.3103,6.6846,,24.3738,,25.8174,538.166,77.8374,,657.798
