Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,s,Compute neighbours,Copy sorting indexes to CPU,s,neighborhood search, constraint projection,XSPH viscosity computation,s,SimStep
0.7818,1.7657,13.9365,0.0722,0.0045,0.7983,0.0001,0.3157,2.1178,0.0002,6.0353,,9.3638,0.5942,,26.4593,497.095,71.1574,,607.933
0.7864,1.5704,12.9936,0.0748,0.0046,1.0265,0.0001,0.3102,2.1583,0.0003,6.0775,,9.6749,0.5958,,25.6375,500.891,71.5751,,611.371
0.7919,1.7202,13.5641,0.0581,0.0043,0.8334,0.0002,0.3061,2.1541,0.0002,6.1048,,9.4821,0.5937,,26.1721,503.941,72.7742,,616.225
0.7908,1.5747,12.8479,0.1259,0.0042,0.9902,0.0001,0.3144,2.1762,0.0002,6.1147,,9.7459,0.6045,,25.5845,506.885,72.7711,,618.26
0.8038,1.6626,13.8309,0.0592,0.0041,0.8056,0.0002,0.3526,2.1556,0.0002,6.1276,,9.5235,0.5976,,26.4378,505.38,72.2014,,617.549
0.7995,1.5389,12.6905,0.0683,0.0029,0.9994,0.0002,0.3094,2.2034,0.0003,6.1478,,9.7569,0.5997,,25.4054,517.812,73.2776,,629.994
0.8092,1.0469,13.4352,0.0535,0.0063,0.7597,0.0003,0.3336,2.1837,0.0001,6.2004,,9.5496,0.6151,,25.4671,510.056,73.0324,,619.469
0.785,1.5499,12.8305,0.061,0.0058,1.0291,0.0001,0.3077,2.205,0.0002,6.1835,,9.8153,0.5966,,25.5994,516.412,73.5623,,628.772
0.8477,1.6919,14.0351,0.0625,0.0036,0.803,0.0001,0.3077,2.1965,0.0003,6.1793,,9.5734,0.5941,,26.7618,529.764,74.3549,,644.311
0.7876,1.6349,12.5902,0.0603,0.0041,0.9791,0.0001,0.3314,2.2132,0.0003,6.1989,,9.8107,0.6006,,25.4434,517.054,74.4598,,630.136
