,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours (Excluding),Compute neighbours,neighborhood search (Excluding),neighborhood search, constraint projection,XSPH viscosity computation,SimStep (Excluding),SimStep
335,0.7553,1.669,13.0669,0.0631,0.003,1.0682,0.0003,0.0882,2.754,0.0002,8.3995,7.6036,,19.9973,,35.5079,638.569,86.771,,777.529
336,0.8181,1.2039,13.411,0.0593,0.0048,0.7967,0.0002,0.071,2.7542,0.0002,8.3646,7.6666,,19.7341,,35.1853,625.043,86.2775,,762.451
337,0.7373,1.568,12.977,0.0747,0.0021,1.0397,0.0001,0.0812,2.7389,0.0004,8.2718,7.5968,,19.8265,,35.1274,635.375,86.7857,,773.787
338,0.7758,1.7883,14.1747,0.0632,0.0043,0.9716,0.0001,0.0721,2.7458,0.0002,8.5278,7.6113,,20.0139,,36.7705,632.434,86.3824,,772.222
339,0.7532,1.6063,13.2661,0.0585,0.0041,1.1089,0.0002,0.0839,2.7367,0.0002,8.4207,7.604,,20.0332,,35.6796,629.572,93.4242,,775.514
340,0.7719,1.5908,13.1054,0.0607,0.0035,1.0797,0.0002,0.0856,2.7797,0.0003,8.4681,7.605,,20.1025,,35.5916,629.784,86.4782,,768.567
341,0.7507,1.7358,14.0072,0.0641,0.0046,0.913,0.0001,0.0692,2.7528,0.0002,8.4337,7.6593,,19.9169,,36.4274,637.978,86.6131,,777.894
342,0.7724,1.5683,13.1152,0.0632,0.0048,0.8702,0.0002,0.0728,2.7494,46.8126,11.2149,7.7032,,69.5193,,84.9927,637.19,86.9453,,826.071
343,0.7732,1.5801,12.9531,0.0707,0.0048,0.8248,0.0001,0.0708,2.7622,46.4996,11.2834,7.6306,,69.1825,,84.511,632.416,86.5276,,820.239
344,0.8201,1.1817,13.5465,0.062,0.0046,0.835,0.0001,0.0812,2.7456,37.8628,10.9809,7.8082,,60.4074,,75.9754,625.294,86.3419,,803.778
345,0.777,1.6299,12.9636,0.0622,0.0025,1.0484,0.0002,0.0798,2.7446,47.5663,11.1264,7.6342,,70.2886,,85.6808,633.715,86.7803,,822.906
346,0.7536,1.6316,12.9945,0.0624,0.0066,1.0222,0.0001,0.0871,2.7568,0.0002,8.5605,7.6046,,20.1203,,35.5197,632.705,86.3954,,771.454
347,0.7823,1.5811,13.0575,0.0606,0.0052,1.0156,0.0001,0.085,2.7557,0.0002,8.4521,7.6005,,19.9918,,35.4335,639.154,86.6109,,777.98
348,0.7841,1.7624,14.375,0.0615,0.0049,0.8836,0.0002,0.0763,2.7462,0.0001,8.4591,7.6012,,19.8518,,36.7929,629.864,98.7827,,782.635
349,0.7927,1.7769,13.1552,0.0613,0.0025,0.8172,0.0001,0.0688,2.7608,0.0002,8.279,7.5988,,19.6075,,35.35,633.448,86.5377,,771.834
350,0.779,1.6162,13.2552,0.061,0.0067,1.0733,0.0001,0.0879,2.7531,0.0002,8.3858,7.602,,19.9972,,35.6691,642.942,86.4666,,782.148
351,0.7791,1.5936,13.0805,0.0615,0.0046,1.0697,0.0002,0.0843,2.7519,46.1732,11.1777,7.632,,68.9831,,84.4854,636.753,86.4785,,824.456
352,0.8364,1.1209,13.5032,0.0637,0.0053,0.7761,0.0001,0.0777,2.7563,0.0002,8.3395,7.6473,,19.6872,,35.1668,625.89,86.4725,,763.437
353,0.7803,1.6483,12.7551,0.0752,0.0048,0.9687,0.0001,0.0846,2.7639,0.0002,8.2246,7.6084,,19.7499,,34.9572,631.653,86.556,,770.011
354,0.7849,1.7544,14.0721,0.0631,0.0055,0.8424,0.0001,0.0733,2.7515,0.0001,8.4085,7.6154,,19.7829,,36.4169,635.107,86.3925,,774.815
355,0.7359,1.5222,12.5273,0.0639,0.0056,0.7729,0.0001,0.0726,2.755,0.0002,8.2907,7.598,,19.5771,,34.3798,631.111,86.5018,,768.816
356,0.7878,1.6145,13.0743,0.0617,0.0021,1.0835,0.0001,0.0881,2.7562,0.0002,8.5468,7.6017,,20.1658,,35.6642,629.675,86.8013,,768.925
357,0.746,1.8062,13.0517,0.0634,0.0076,1.0098,0.0001,0.0879,2.7534,0.0002,8.4415,7.6301,,20.0137,,35.6393,635.36,86.2244,,773.827
358,0.7823,1.746,14.3231,0.0689,0.0055,0.7949,0.0001,0.0726,2.7541,0.0002,8.3497,7.613,,19.6789,,36.5474,632.591,86.6353,,772.81
359,0.7712,1.5805,13.1306,0.0669,0.0089,0.9252,0.0003,0.0708,2.7584,0.0003,8.4641,7.6077,,19.9227,,35.4209,633.746,86.5179,,773.179
360,0.8114,1.1192,13.4316,0.0682,0.0049,0.8234,0.0001,0.0774,2.7726,0.0002,8.5827,7.6325,,19.9845,,35.3658,633.63,86.672,,772.122
361,0.7443,1.6431,13.0814,0.0669,0.0055,1.0139,0.0001,0.0858,2.7626,0.0003,8.492,7.6211,,20.0728,,35.5597,631.349,86.1382,,770.024
362,0.7746,1.739,13.9935,0.0562,0.0042,0.8551,0.0002,0.0743,2.7558,0.0002,8.332,7.6068,,19.7101,,36.2388,631.816,86.5877,,771.627
363,0.7668,1.6339,13.1096,0.0627,0.0058,1.0252,0.0001,0.0867,2.7553,0.0003,8.362,7.6034,,19.9268,,35.4548,629.013,86.6282,,767.829
364,0.7829,1.5933,12.9931,0.0691,0.0093,1.0024,0.0001,0.0847,2.7694,0.0002,8.6376,7.6172,,20.211,,35.5993,628.284,86.359,,766.875
365,0.7815,1.7091,13.9283,0.0541,0.0053,0.8897,0.0001,0.0726,2.7511,0.0002,8.3852,7.6077,,19.7869,,36.2299,635.037,86.9378,,775.004
366,0.7724,1.5388,13.072,0.0613,0.0047,0.7976,0.0001,0.0743,2.7603,0.0003,8.4562,7.6488,,19.8328,,35.2338,635.406,86.6832,,774.351
