,Unnecessary Copy,copyParticleData,computeMinMax,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Overhead,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Overhead,Run hipNSearch,Overhead,neighborhood search,constraint projection,XSPH viscosity computation,Overhead,SimStep
87,1.462,2.246,7.8597,0.656,4.9597,0.2138,4.7994,,9.9813,0.0002,0.0004,0.3172,6.3336,,27.4166,,28.889,491.848,72.9414,,606.954
88,1.2798,1.7175,7.897,0.652,3.2537,0.2102,4.356,,7.8228,0.0002,0.0002,0.3615,6.3855,,24.8494,,26.139,491.78,72.6877,,601.415
89,1.4206,2.1625,7.7381,0.6908,4.9418,0.1974,4.824,,9.972,0.0003,0.0002,0.3233,6.3677,,27.2723,,28.7027,496.639,72.8903,,611.172
90,1.4371,2.3857,8.0326,0.672,3.6022,0.2066,4.3801,,8.1968,0.0002,0.0003,0.315,6.3755,,26.0045,,27.4512,504.453,73.3094,,618.24
91,1.4297,2.1859,7.5414,0.6154,4.939,0.2062,4.8141,,9.968,0.0003,0.0002,0.3134,6.3872,,27.034,,28.4743,501.42,73.4064,,616.363
92,1.4208,2.4675,8.0485,0.6994,3.8016,0.2097,4.4063,,8.4269,0.0002,0.0003,0.3217,6.404,,26.394,,27.8238,501.695,73.8201,,616.339
93,1.4473,2.2446,7.4865,0.6341,4.8705,0.1956,4.7898,,9.8662,0.0002,0.0002,0.3154,6.4256,,26.9953,,28.4535,511.746,74.0263,,627.35
94,1.4194,2.4785,8.0152,0.9316,3.5419,0.2054,4.4487,,8.2026,0.0002,0.0002,0.3247,6.4354,,26.4071,,27.8369,508.958,74.2782,,624.076
95,1.4353,2.1742,7.8712,0.6257,5.2144,0.1923,5.0033,,10.4147,0.0002,0.0002,0.3127,6.4442,,27.8676,,29.3134,515.839,74.4237,,632.685
96,1.2947,1.7094,7.7146,0.9775,3.3983,0.2117,4.5769,,8.1897,0.0002,0.0004,0.355,6.4918,,25.452,,26.7574,506.505,74.542,,618.678
97,1.4266,2.3172,7.9415,0.6231,5.3192,0.1966,5.0821,,10.6441,0.0002,0.0003,0.3113,6.4693,,28.3281,,29.7646,523.595,75.1456,,641.601
98,1.4282,2.487,8.1969,0.9243,3.5943,0.2044,4.5763,,8.38,0.0002,0.0003,0.3172,6.4886,,26.8184,,28.2567,518.471,79.7343,,639.545
99,1.4526,2.1476,7.7852,0.6981,5.2033,0.1988,5.0023,,10.4149,0.0003,0.0004,0.3239,6.4961,,27.8911,,29.3529,519.765,75.6279,,637.85
100,1.4364,2.2677,7.92,0.8973,3.6495,0.2035,4.6597,,8.5219,0.0002,0.0001,0.3131,6.5039,,26.4464,,27.8914,526.679,75.8676,,643.62
101,1.4499,2.4124,7.5045,0.6219,5.0735,0.2048,5.0054,,10.2918,0.0002,0.0003,0.32,6.5223,,27.6993,,29.1587,521.504,76.0399,,639.906
102,1.4387,2.2466,8.0506,0.9044,3.6825,0.2099,4.6776,,8.5805,0.0003,0.0003,0.3291,6.5373,,26.6743,,28.1227,525.639,76.2057,,643.088
103,1.4553,2.2134,7.7775,0.607,5.2788,0.2101,5.125,,10.6242,0.0003,0.0002,0.3319,6.5562,,28.1394,,29.6034,531.991,76.5821,,651.368
104,1.2831,1.7025,7.882,0.6895,3.7564,0.2059,4.7224,,8.6924,0.0003,0.0002,0.3634,6.5738,,25.9142,,27.2067,524.458,76.4776,,638.865
105,1.4399,2.1688,7.7858,0.6138,5.3561,0.2125,5.1475,,10.7257,0.0003,0.0001,0.3295,6.5773,,28.2298,,29.679,534.472,76.6859,,653.876
106,1.4464,2.4855,8.2224,0.9555,3.8054,0.2135,4.7449,,8.7712,0.0003,0.0003,0.3168,6.5991,,27.3725,,28.8267,533.298,76.8804,,652.062
107,1.4459,2.1584,7.798,0.6179,5.3951,0.2003,5.2131,,10.8169,0.0003,0.0002,0.3269,6.6016,,28.3439,,29.7993,537.343,77.2408,,657.486
108,1.4487,2.254,8.0044,0.7105,3.7281,0.1929,4.7919,,8.7182,0.0002,0.0003,0.3163,6.6074,,26.6311,,28.0877,537.225,77.4811,,655.943
109,1.4258,2.4457,7.8947,0.6171,5.5257,0.2014,5.2724,,11.0095,0.0003,0.0004,0.3243,6.6167,,28.9355,,30.3715,536.218,77.7516,,657.343
110,1.4159,2.2526,8.1753,0.9362,3.8008,0.2133,4.8441,,8.8653,0.0002,0.0003,0.3177,6.6455,,27.2177,,28.6439,539.55,78.0208,,659.184
111,1.4349,2.2496,7.8111,0.6368,5.4892,0.1969,5.2537,,10.9501,0.0003,0.0004,0.3266,6.6496,,28.6465,,30.0909,544.162,78.151,,665.526
112,1.2739,1.6843,7.8265,0.7034,3.7123,0.2137,4.8731,,8.8019,0.0002,0.0002,0.3552,6.7056,,26.0908,,27.3756,542.478,78.1032,,658.741
113,1.4185,2.2822,7.896,0.6943,5.6312,0.1915,5.3446,,11.1726,0.0002,0.0003,0.3147,6.6721,,29.0531,,30.4817,544.81,78.4308,,666.772
114,1.4224,2.2866,8.0038,0.6958,3.8641,0.2078,4.9115,,8.9935,0.0003,0.0002,0.3245,6.6875,,27.0199,,28.4529,546.923,78.4193,,666.849
115,1.4243,2.2774,7.8198,0.612,5.6387,0.2484,5.3699,,11.2666,0.0002,0.0003,0.3261,6.6967,,29.0219,,30.4571,546.415,78.5873,,668.399
116,1.4287,2.2974,7.9502,0.9844,3.9418,0.2029,4.9783,,9.132,0.0003,0.0003,0.3156,6.769,,27.4724,,28.9115,547.957,78.9315,,668.858
117,1.416,2.1829,7.7602,0.5939,5.6679,0.292,5.4075,,11.3753,0.0002,0.0001,0.3173,6.7178,,28.9702,,30.396,549.395,79.2629,,672.156
118,1.4428,2.4709,8.1192,1.8782,4.0171,0.2064,5.0114,,9.2478,0.0003,0.0002,0.3261,6.7365,,28.8071,,30.2604,554.509,79.3945,,677.419
119,1.4167,2.1087,7.4881,0.6429,5.5944,0.1895,5.39,,11.1785,0.0002,0.0003,0.3148,6.7523,,28.5081,,29.9346,555.294,79.7962,,677.91
120,1.2879,1.728,7.9751,0.6965,4.5031,0.2097,5.108,,9.8238,0.0002,0.0002,0.3983,6.7735,,27.4038,,28.7014,553.823,79.6096,,673.001
121,1.4126,2.1692,7.5603,0.5987,5.6032,0.1957,5.4102,,11.2154,0.0002,0.0003,0.3242,6.7672,,28.6568,,30.0783,561.78,80.2461,,685.217
122,1.4107,2.2715,8.1374,0.8699,4.012,0.2041,5.102,,9.3259,0.0002,0.0003,0.3137,6.7815,,27.7183,,29.1379,575.58,85.6934,,703.442
123,1.4099,2.1583,7.4639,0.6434,5.5943,0.1853,5.3973,,11.1827,0.0003,0.0004,0.3129,6.7913,,28.5704,,29.9897,560.204,80.1762,,683.344
124,1.42,2.2627,7.9073,0.9038,4.1027,0.2015,5.1443,,9.453,0.0002,0.0003,0.3136,6.8054,,27.6671,,29.0962,573.449,82.8602,,698.522
125,1.4376,2.2845,7.8187,0.6504,5.9335,0.2148,5.5716,,11.7277,0.0003,0.0003,0.3344,6.8291,,29.6701,,31.1169,601.439,90.4127,,736.002
126,1.4518,2.3598,7.9774,0.6759,6.0328,0.2944,5.7547,,12.098,0.0004,0.0002,0.3419,6.8688,,30.3556,,31.8229,563.923,81.0612,,689.943
127,1.4454,2.3119,8.2128,0.9734,4.4596,0.2871,5.1798,,9.9361,0.0002,0.0003,0.3163,6.8891,,28.6635,,30.1191,570.633,80.7147,,694.586
128,1.3523,1.6861,7.8282,0.9557,4.2151,0.2578,5.2791,,9.7593,0.0004,0.0002,0.3765,6.8714,,27.4879,,28.854,563.623,80.5709,,683.969
129,1.425,2.2816,7.8268,0.6061,5.9393,0.2329,5.649,,11.9253,0.0002,0.0002,0.3275,6.8563,,29.8382,,31.2721,569.175,80.4209,,693.839
130,1.4406,2.2198,7.9197,0.9165,4.1388,0.2059,5.2571,,9.6109,0.0002,0.0003,0.3249,6.8676,,27.8864,,29.3357,574.55,80.7013,,697.767
131,1.4613,2.2342,7.9311,0.6373,6.13,0.2804,5.7099,,12.1273,0.0002,0.0002,0.3178,6.8903,,30.1606,,31.6297,580.719,82.7787,,708.296
132,1.4272,2.3604,8.0189,0.7081,4.1742,0.2056,5.3007,,9.6907,0.0002,0.0002,0.3244,6.8983,,28.026,,29.4624,573.093,80.7111,,696.262
133,1.4437,2.3701,7.826,0.6315,6.0284,0.1898,5.7112,,11.9342,0.0002,0.0003,0.3165,6.9538,,30.0566,,31.5099,583.36,80.9256,,708.783
134,1.4276,2.095,7.7525,0.5954,5.9381,0.1964,5.6795,,11.8208,0.0002,0.0003,0.3189,6.9163,,29.5201,,30.9562,585.177,80.6939,,709.812
135,1.4243,2.4168,8.0439,0.6561,4.3557,0.1872,5.4129,,9.9597,0.0002,0.0003,0.3102,6.9338,,28.3391,,29.7734,578.418,81.0299,,702.09
136,1.2783,1.7046,7.7442,0.9458,4.3288,0.2074,5.0781,,9.6234,0.0002,0.0003,0.3606,6.9446,,27.3337,,28.6216,578.716,81.1332,,699.049
137,1.4107,2.1402,7.5184,0.6404,5.8502,0.181,5.6552,,11.6903,0.0002,0.0002,0.329,6.9486,,29.2885,,30.7075,581.036,80.9979,,705.658
138,1.42,2.3141,7.9891,0.7197,4.2362,0.1933,5.4169,,9.8529,0.0002,0.0002,0.3145,6.9594,,28.1674,,29.5993,583.61,81.3767,,707.504
139,1.4173,2.1715,7.8,0.5999,6.1108,0.1928,5.7781,,12.0854,0.0002,0.0003,0.3115,6.9766,,29.9658,,31.3928,584.448,81.5031,,710.201
140,1.4321,2.2093,8.1838,0.8445,4.3597,0.2013,5.0775,,9.6452,0.0002,0.0003,0.3138,6.9885,,28.2007,,29.6422,592.744,81.6515,,717.029
141,1.4256,2.2187,7.8139,0.5905,6.1647,0.1812,5.8374,,12.1913,0.0003,0.0003,0.3202,6.9948,,30.1479,,31.5823,587.139,81.9813,,713.58
142,1.4375,2.441,7.9558,0.7032,4.2726,0.2086,5.4914,,9.9835,0.0003,0.0002,0.3123,7.0017,,28.4087,,29.8557,589.308,82.3139,,714.417
143,1.4386,2.326,7.8296,0.591,6.2362,0.1865,5.882,,12.3089,0.0005,0.0002,0.3108,7.016,,30.3958,,31.8442,595.999,82.4218,,723.239
144,1.3043,1.7281,7.7574,0.9852,4.5332,0.2153,5.1475,,9.9031,0.0003,0.0002,0.3706,7.0416,,27.7963,,29.1109,588.736,82.043,,710.505
145,1.4074,2.2769,7.9592,0.6068,6.4668,0.2041,5.9819,,12.6597,0.0002,0.0002,0.3167,7.0452,,30.8913,,32.3075,594.464,82.5454,,722.078
146,1.4497,2.5625,8.1385,0.9329,4.41,0.2101,5.6334,,10.2646,0.0003,0.0003,0.3312,7.0499,,29.3023,,30.7617,601.137,82.9281,,727.737
